CustomerID,FirstName,MiddleName,LastName,Birthdate,StreetAddress,City,StateProvinceCode,CountryCode,ZipCode
1,"Thomas              ",F,"Dudley              ",1971-07-03,2688 Prudence Street,Dearborn,MI,US,"48126     "
2,"Shaina              ",NULL,"Adams               ",1984-01-16,37 Harter Street,De Graff,OH,US,"43318     "
3,"Bonnie              ",NULL,"Spearman            ",1997-07-21,4442 Lyndon Street,Philadelphia,PA,US,"19146     "
4,"David               ",M,"New                 ",1997-02-13,1212 Shingleton Road,Grand Rapids,MI,US,"49503     "
5,"Marilyn             ",C,"Whitworth           ",1984-06-18,2255 Longview Avenue,Jamaica,NY,US,"11432     "
6,"Shaun               ",A,"Jones               ",1987-01-20,927 Wright Court,Birmingham,AL,US,"35210     "
7,"Jerry               ",NULL,"Warner              ",1973-09-12,3843 Rocket Drive,Minneapolis,MN,US,"55404     "
8,"Elizabeth           ",N,"Mitchell            ",1978-03-02,1349 Lochmere Lane,Hartford,CT,US,"06103     "
9,"Kevin               ",C,"Reynolds            ",1982-02-01,3162 Vine Street,Arlington Heights,IL,US,"60005     "
10,"William             ",NULL,"Ku                  ",1943-05-03,1035 Pooh Bear Lane,Greenville,SC,US,"29601     "
11,"Jolynn              ",R,"Stringfellow        ",1983-07-02,4775 Goldie Lane,Cincinnati,OH,US,"45202     "
12,"Shantel             ",NULL,"Phipps              ",1984-10-27,2852 Woodbridge Lane,Dearborn,MI,US,"48126     "
13,"Rebecca             ",A,"Armstrong           ",1990-09-03,4881 Mayo Street,Richmond,KY,US,"40475     "
14,"Dorothy             ",NULL,"Morrison            ",1890-04-27,2650 Seth Street,San Angelo,TX,US,"76903     "
15,"Ellen               ",NULL,"Buck                ",1898-07-28,229 Clay Lick Road,Longmont,CO,US,"80501     "
16,"Lisa                ",NULL,"Ward                ",1998-08-28,4227 Clousson Road,Houston,TX,US,"77002     "
17,"Louella             ",L,"Rains               ",1993-06-09,123 Ray Court,Fayetteville,NC,US,"28301     "
18,"Denise              ",D,"Willis              ",1960-06-17,2357 Cunningham Court,Waterford,MI,US,"48328     "
19,"Kristi              ",M,"Rodriquez           ",1953-06-28,4833 Stonecoal Road,Toledo,OH,US,"43615     "
20,"Donald              ",R,"Mann                ",1993-04-13,1785 Quiet Valley Lane,Pacoima,CA,US,"91331     "
21,"Darrell             ",NULL,"Kliebert            ",1966-12-14,4393 Richland Avenue,Houston,TX,US,"77062     "
22,"Justin              ",D,"White               ",1951-05-08,1454 Junior Avenue,Norcross,GA,US,"30071     "
23,"Tammy               ",T,"Pittman             ",1985-08-12,2319 Sycamore Lake Road,Appleton,WI,US,"54911     "
24,"William             ",A,"Baldwin             ",1994-06-22,2874 Norma Avenue,Dayton,OH,US,"45406     "
25,"Edward              ",NULL,"Mills               ",1946-02-19,1393 Alexander Drive,Carrollton,TX,US,"75006     "
26,"Aaron               ",NULL,"Barger              ",1941-12-16,3993 Lindale Avenue,Fremont,*M,US,"94536     "
27,"Renee               ",D,"Calhoun             ",1985-10-06,4910 Jessie Street,Athens,OH,US,"45701     "
28,"Erica               ",NULL,"Seymour             ",1946-07-21,2946 Spirit Drive,Orlando,FL,US,"32810     "
29,"Carla               ",NULL,"Coombs              ",1994-10-07,749 Cook Hill Road,Norwalk,CT,US,"06854     "
30,"Kenneth             ",G,"Quesenberry         ",1942-09-15,131 Kimberly Way,Grand Rapids,MI,US,"49505     "
31,"Dalton              ",B,"Parsons             ",1951-07-17,3772 Ferrell Street,Ericsburg,MN,US,"55732     "
32,"Rebecca             ",J,"Davis               ",1939-11-07,4701 Kimberly Way,Grand Rapids,MI,US,"49503     "
33,"Joshua              ",NULL,"Province            ",1977-10-31,4798 Goosetown Drive,Arden,NC,US,"28704     "
34,"Anne                ",W,"Key                 ",1969-10-01,4852 Ferguson Street,Bedford,MA,US,"01730     "
35,"Doreen              ",B,"Rabideau            ",1967-01-25,1318 Grant View Drive,Milwaukee,WI,US,"53204     "
36,"Stephan             ",A,"Layman              ",1970-09-17,3234 Honeysuckle Lane,Bothell,WA,US,"98011     "
37,"Jeremiah            ",E,"Olivarria           ",1991-10-02,4690 Fire Access Road,Advance,NC,US,"27006     "
38,"Steve               ",NULL,"Johnson             ",1955-08-23,2401 John Daniel Drive,Monroe City,MO,US,"63456     "
39,"Dorothy             ",C,"Smithwick           ",1978-01-03,1449 Rocket Drive,Columbus,OH,US,"43215     "
40,"James               ",I,"Catalano            ",1863-08-28,2410 Sunny Glen Lane,Cleveland,*M,US,"44115     "
41,"Mary                ",P,"Decker              ",1886-06-11,607 Jones Street,Fort Worth,TX,US,"76111     "
42,"Kenneth             ",M,"McCormick           ",1973-06-30,3765 Heritage Road,Fresno,CA,US,"93721     "
43,"Nicole              ",J,"Collins             ",1970-08-09,819 Pin Oak Drive,Burbank,CA,US,"91505     "
44,"Lisa                ",NULL,"Bryd                ",1948-09-08,4068 Virginia Street,Chicago,IL,US,"60605     "
45,"John                ",K,"Stjohn              ",1964-12-06,4503 Beechwood Drive,Pittsburgh,PA,US,"15219     "
46,"Steven              ",M,"Olin                ",1976-11-22,1572 Alexander Drive,Denton,*M,US,"76201     "
47,"Corey               ",NULL,"Williams            ",1940-03-29,2613 Byrd Lane,Albuquerque,*M,US,"87108     "
48,"David               ",M,"Auclair             ",1954-05-11,1952 Heather Sees Way,Tulsa,*M,US,"74106     "
49,"Felicia             ",R,"Parker              ",1981-04-08,1089 Heavner Court,Long Island City,NY,US,"11101     "
50,"Ashley              ",NULL,"Kirklin             ",1969-07-31,1392 Stonepot Road,Belle Mead,NJ,US,"08502     "
51,"Roger               ",H,"Talbot              ",1980-05-22,4026 Howard Street,Holland,MI,US,"49423     "
52,"Maria               ",K,"Kelley              ",1956-10-27,1295 Roosevelt Wilson Lane,Los Angeles,*M,US,"90017     "
53,"Michael             ",K,"Baker               ",1964-02-12,1880 Crestview Terrace,Eagle Pass,TX,US,"78852     "
54,"Mildred             ",R,"Barrera             ",1974-09-30,2371 Bailey Drive,Iowa City,IA,US,"52240     "
55,"Opal                ",T,"Quinonez            ",1973-02-18,3037 Lee Avenue,Penns Grove,NJ,US,"08069     "
56,"Georgia             ",NULL,"Cooley              ",1962-01-19,1381 Glory Road,Centerville,TN,US,"37033     "
57,"Erik                ",NULL,"Fenstermacher       ",1965-03-16,1820 Philadelphia Avenue,Midvale,UT,US,"84047     "
58,"Gus                 ",P,"Vaughn              ",1990-10-08,3014 Lincoln Drive,Harrisburg,PA,US,"17101     "
59,"Mary                ",L,"Wray                ",1956-04-11,3119 Rainy Day Drive,Boston,MA,US,"02115     "
60,"Minnie              ",S,"Cayton              ",1938-05-10,3435 Arthur Avenue,Lyndon,IL,US,"61261     "
61,"Dorothy             ",NULL,"Borelli             ",1961-12-25,19 White River Way,West Valley City,UT,US,"84119     "
62,"Rhonda              ",B,"McCarthy            ",1993-11-14,4193 Harter Street,Dayton,OH,US,"45402     "
63,"Bianca              ",T,"Curtis              ",1939-10-19,3765 Pinewood Drive,Arlington Heights,IL,US,"60004     "
64,"David               ",L,"Arrington           ",1943-09-16,2327 Cityview Drive,Philadelphia,PA,US,"19103     "
65,"Charles             ",NULL,"Kraatz              ",1964-02-26,2792 Norma Avenue,Dibolll,TX,US,"75941     "
66,"Shirley             ",H,"McGraw              ",1954-12-27,4208 Timber Oak Drive,San Luis Obispo,CA,US,"93401     "
67,"Janice              ",R,"Torgerson           ",1995-01-20,4669 Paul Wayne Haggerty Road,New Orleans,LA,US,"70114     "
68,"Mark                ",NULL,"Goddard             ",1953-07-02,4896 Corpening Drive,Westland,MI,US,"48185     "
69,"Jacob               ",A,"Williams            ",1961-07-16,1129 Joyce Street,Mobile,AL,US,"36608     "
70,"Russell             ",NULL,"Smith               ",1998-08-23,4304 Cabell Avenue,Beltsville,VA,US,"20705     "
71,"Jimmy               ",K,"Dimauro             ",NULL,1157 Par Drive,San Luis Obispo,*M,US,"93401     "
72,"Joseph              ",T,"Gonzalez            ",1982-10-07,3453 Lang Avenue,Mountain View,UT,US,"82939     "
73,"Marilyn             ",NULL,"Mathis              ",1955-09-06,2938 Reynolds Alley,Los Angeles,CA,US,"90017     "
74,"Darci               ",T,"Arnold              ",1981-09-21,2261 Clay Street,Indianapolis,IN,US,"46214     "
75,"Bianca              ",NULL,"Williams            ",1976-02-04,4968 Junior Avenue,Atlanta,GA,US,"30329     "
76,"Brian               ",R,"Griffiths           ",1972-05-01,226 Indiana Avenue,Mililani,HI,US,"96789     "
77,"Susan               ",NULL,"Clanton             ",1995-10-01,4794 Bridge Avenue,Lafayette,LA,US,"70583     "
78,"Philip              ",NULL,"Cox                 ",1956-09-19,2713 Longview Avenue,South Ozone Park,NY,US,"11420     "
79,"Lurlene             ",P,"Guice               ",1961-02-04,3290 Eden Drive,Richmond,VA,US,"23219     "
80,"Carly               ",T,"Malloy              ",1992-12-19,4274 Stoney Lane,Grand Prairie,TX,US,"75051     "
81,"Michael             ",P,"Wee                 ",1957-05-14,1754 Apple Lane,Chillicothe,IL,US,"61523     "
82,"Christine           ",H,"Millar              ",1970-08-10,2685 Essex Court,South Burlington,VT,US,"05403     "
83,"Alfred              ",B,"Sane                ",NULL,771 Kelly Street,Gastonia,NC,US,"28052     "
84,"Dinah               ",J,"Barber              ",NULL,4815 Cody Ridge Road,Duncan,OK,US,"73533     "
85,"Theresa             ",L,"Ruiz                ",1950-03-29,2506 Harley Brook Lane,Austin,PA,US,"16720     "
86,"Nancy               ",B,"Gagliano            ",1978-06-30,3225 Grove Street,Garden City,NY,US,"11530     "
87,"Isabel              ",H,"Peck                ",NULL,2829 Adamsville Road,Laredo,TX,US,"78040     "
88,"Karen               ",E,"Eno                 ",1980-11-10,2528 Fire Access Road,High Point,NC,US,"27260     "
89,"Elizabeth           ",NULL,"Montes              ",1973-05-20,4738 Broadcast Drive,Beltsville,VA,US,"20705     "
