"CustomerID","FirstName","MiddleInitial","LastName","Birthdate","StreetAddress","City","StateProvinceCode","CountryCode","Zipcode"
301,"Elaine","C","Goodman",1988-02-25,"1745 Fleming Street","Montgomery","AL","USA",36107
302,"Margaret","K","Siegel",1957-09-20,"631 Preston Street","Phoenix","AZ","USA",85034
303,"Sheri","F","Roberts",1966-04-20,"4356 Brookside Drive","Tuscaloosa","AL","USA",35401
304,"Ruth","R","Smyth",1953-01-16,"1121 Archwood Avenue","Casper","WY","USA",82601
305,"Denice",,"Foley",1994-11-22,"2488 Rockwell Lane","La Grange","NC","USA",28551
306,"Richard","C","Jackson",1954-07-25,"3022 Coplin Avenue","Tempe","AZ","USA",85282
307,"William",,"Barnett",1974-11-14,"1358 Vine Street","Bensenville","IL","USA",60106
308,"Earl","P","Carpenter",1994-03-21,"574 Bruce Street","Saint Louis","MO","USA",63108
309,"Jesus",,"Smith",1968-10-04,"1159 Aaron Smith Drive","Harrisburg","PA","USA",17102
310,"Joshua",,"Gonzalez",1937-03-20,"3526 Willow Greene Drive","Montgomery","*Missing*","USA",36109
311,"Wendy","A","Hawks",1961-09-21,"47 Barfield Lane","Indianapolis","IN","USA",46225
312,"Jay","M","Miranda",1951-10-23,"298 Snyder Avenue","Charlotte","NC","USA",28202
313,"Cory","A","Frakes",1963-09-05,"3757 Eagles Nest Drive","Sacramento","CA","USA",95814
314,"Darin",,"Ledoux",1973-11-02,"123 Nutter Street","Kansas City","MO","USA",64108
315,"Gregory","D","Drummond",1981-11-02,"2492 Reel Avenue","Hobbs","NM","USA",88240
316,"Thelma","D","Harris",1863-09-11,"324 C Street","Milford","MA","USA",1757
317,"Joseph",,"Kellner",1986-02-05,"52 Logan Lane","Denver","CO","USA",80220
318,"Stephanie","K","Chance",1982-11-26,"1483 Meadow Lane","Santa Rosa","CA","USA",95401
319,"Cynthia","G","Long",1986-08-01,"3619 Spirit Drive","Port Orange","FL","USA",32019
320,"Christopher","M","Hailey",1968-05-06,"352 James Avenue","Syracuse","NY","USA",13202
321,"Travis","S","Hepp",1949-05-14,"1236 Bernardo Street","Clay City","IN","USA",47841
322,"Loretta",,"Madison",1948-02-12,"3563 Loving Acres Road","Dallas","TX","USA",75204
